id,G1,G2,sample,t_sim,noise,fr0_1,fr0_2,fr0_3,fr0_4,fr0_5,fr0_6,h_1,h_2,h_3,h_4,h_5,h_6,wspd_1,wspd_2,wspd_3,wspd_4,wspd_5,wspd_6,wdir_1,wdir_2,wdir_3,wdir_4,wdir_5,wdir_6
1,1,-,done,0.001,-,0.376132148,0.623867852,,,,,1617,6526,,,,,6.786,15.384,,,,,77,302,,,,
2,1,-,done,0.001,-,0.710169299,0.289830701,,,,,1038,4725,,,,,6.354,12.134,,,,,264,240,,,,
3,1,-,done,0.001,-,0.65210815,0.34789185,,,,,525,6293,,,,,5.456,14.798,,,,,255,47,,,,
4,1,-,done,0.001,-,0.553909238,0.446090762,,,,,1046,5889,,,,,6.087,14.017,,,,,259,296,,,,
5,1,-,done,0.001,-,0.33311084,0.130947853,0.263058244,0.272883063,,,826,2302,6289,9571,,,5.954,7.866,15.096,23.31,,,196,312,229,275,,
6,1,3,done,0.001,-,0.322029333,0.077343115,0.297176251,0.303451301,,,749,4021,6919,8805,,,5.686,10.342,16.162,20.804,,,335,33,230,177,,
7,1,2,done,0.001,-,0.269904988,0.088203915,0.327158394,0.314732703,,,864,2930,7680,7340,,,5.691,8.4,17.698,16.89,,,346,26,225,58,,
8,1,2,done,0.001,-,0.223457886,0.108091351,0.302832316,0.365618447,,,1257,2849,6589,8571,,,6.561,8.792,15.923,20.778,,,206,53,232,54,,
9,1,2,done,0.001,-,0.257255961,0.120888159,0.307394577,0.314461303,,,1233,2880,6341,9539,,,6.422,8.705,15.178,23.179,,,119,220,274,87,,
10,1,3,done,0.001,-,0.249861785,0.18055971,0.220271037,0.349307467,,,1751,2553,5248,10084,,,7.326,8.479,13.245,25.251,,,308,182,52,348,,
11,2,-,done,0.001,-,0.453732785,0.142958569,0.403308646,,,,999,3716,6155,,,,6.332,10.332,15.116,,,,280,286,292,,,
12,2,-,done,0.001,-,0.537461088,0.114865699,0.347673213,,,,584,3159,6535,,,,5.948,9.545,16.165,,,,70,75,80,,,
13,2,-,done,0.001,-,0.341280571,0.1560748,0.502644628,,,,1280,3072,6766,,,,6.35,8.84,15.896,,,,308,297,286,,,
14,2,-,done,0.001,-,0.60719531,0.184767165,0.083673967,0.124363558,,,294,1293,3136,5246,,,5.401,6.555,9.18,12.977,,,354,338,322,306,,
15,2,3,done,0.001,-,0.585323158,0.214119219,0.082392941,0.118164682,,,263,1013,2906,5308,,,5.434,6.287,8.913,13.223,,,73,67,61,55,,
16,2,3,done,0.001,-,0.419932124,0.197018834,0.086475478,0.296573564,,,551,1247,3126,6909,,,5.52,6.32,8.939,16.241,,,50,38,26,14,,
17,2,-,done,0.001,-,0.640575623,0.359424377,,,,,1253,4985,,,,,6.812,12.935,,,,,196,197,,,,
18,2,-,done,0.001,-,0.66003222,0.33996778,,,,,834,5506,,,,,5.565,12.752,,,,,204,211,,,,
19,2,-,done,0.001,-,0.551224697,0.448775303,,,,,749,6565,,,,,5.748,15.483,,,,,118,111,,,,
20,2,-,done,0.001,-,0.483194966,0.516805034,,,,,1227,6126,,,,,6.599,15.027,,,,,55,35,,,,
21,1,-,done,0.001,-,0.508697973,0.133786123,0.239057467,0.118458437,,,334,1637,9158,11159,,,22.561,28.468,22.561,28.468,,,248,84,158,354,,
22,1,-,done,0.001,-,0.552307065,0.061720869,0.260383187,0.125588879,,,227,3561,8386,10850,,,20.467,27.485,20.467,27.485,,,113,300,23,210,,
23,1,-,done,0.001,-,0.586131706,0.066560416,0.221162275,0.126145603,,,219,3396,9245,10949,,,22.317,27.271,22.317,27.271,,,163,202,73,112,,
